method,topic,question
zero_shot_findkg,European Central Bank,1. How does the Canadian economy impacting the European Central Bank affect key rates?
zero_shot_findkg,European Central Bank,2. What effect does a negative impact of the European Central Bank on global inflation have on consumer spending?
zero_shot_findkg,European Central Bank,3. In what way do lower interest rates announced by the European Central Bank influence U.S. economic growth?
zero_shot_findkg,European Central Bank,"4. How might changes in the eurozone economy due to the European Central Bank affect exports, and how could this potentially lead to positive impacts on economic growth?"
zero_shot_findkg,European Central Bank,"5. What impact does a decrease in key interest rates set by the European Central Bank have on bond yield, and what is its subsequent effect on stock market volatility?"
zero_shot_findkg,European Central Bank,6. How do investments made by the European Central Bank into bonds affect investors?
zero_shot_findkg,European Central Bank,7. In what way can an announcement of USMCA by Donald Trump be linked to actions taken or decisions made by the European Central Bank?
zero_shot_findkg,European Central Bank,"8. What impact does a decrease in interest rates set by the European Central Bank have on economic growth, and how might this influence U.S. stocks positively?"
zero_shot_findkg,European Central Bank,9. How could changes in inflation due to the European Central Bank's announcements potentially affect exports within the Eurozone economy?
zero_shot_findkg,European Central Bank,10. In what way can lower key interest rates announced?
few_shot_findkg,European Central Bank,1. How does the announcement of a key rate by the European Central Bank impact the Canadian economy?
few_shot_findkg,European Central Bank,2. What is the negative impact on global inflation that results from actions taken by the European Central Bank?
few_shot_findkg,European Central Bank,3. In what way do decreases in interest rates by the European Central Bank contribute to economic growth within the United States?
few_shot_findkg,European Central Bank,4. How does a decrease in key interest rate by the European Central Bank affect overall economy?
few_shot_findkg,European Central Bank,5. What is the positive impact on U.S. stocks that results from actions taken by the European Central Bank?
few_shot_findkg,European Central Bank,6. How do investments made by the European Central Bank influence investors?
few_shot_findkg,European Central Bank,"7. By decreasing inflation, how does the European Central Bank encourage consumer spending within its region and beyond?"
few_shot_findkg,European Central Bank,8. In what way can the announcement of a key rate by the European Central Bank affect exports in the Eurozone economy?
few_shot_findkg,European Central Bank,9. What is the negative impact on stock market volatility that results from changes to bond yields influenced by the European Central Bank?
few_shot_findkg,European Central Bank,10. How does the European Central Bank's decision to invest in bonds potentially influence economic growth within the Eurozone and beyond?
cot_findkg,European Central Bank,1. How does the Canadian economy affect the European Central Bank through its impact on key interest rates?
cot_findkg,European Central Bank,2. In what way does the European Central Bank influence global economics negatively through increased inflation?
cot_findkg,European Central Bank,3. Through what mechanism does the European Central Bank stimulate economic growth in exporting countries positively?
cot_findkg,European Central Bank,4. How does the European Central Bank's actions decrease the value of the euro within the Eurozone economy?
cot_findkg,European Central Bank,5. In what way does a lower key interest rate set by the European Central Bank contribute to positive US economic growth?
cot_findkg,European Central Bank,6. Through what mechanism did the announcement made by the European Central Bank regarding USMCA affect Donald Trump?
cot_findkg,European Central Bank,7. How might increased inflation caused by the European Central Bank stimulate consumer spending positively in various economies?
cot_findkg,European Central Bank,8. In what way does a decrease in interest rates set by the European Central Bank impact economic growth directly?
cot_findkg,European Central Bank,"9. Through what mechanism do lower key interest rates established by the European Central Bank affect bond yields negatively, leading to increased stock market volatility?"
cot_findkg,European Central Bank,10. How is investment made by the European Central Bank into bonds connected to investors through this financial relationship?
dsp_findkg,European Central Bank,1. How has the European Central Bank's announcement of key interest rate impacted Canada's economy?
dsp_findkg,European Central Bank,2. What is the negative impact on inflation in the global economy due to the actions taken by the European Central Bank?
dsp_findkg,European Central Bank,"3. In what way does a positive impact on economic growth result from an increase in exports, given that they are negatively affected by the European Central Bank?"
dsp_findkg,European Central Bank,"4. How has the decrease in the Eurozone Economy's performance led to a decline in the value of the Euro, as influenced by the European Central Bank?"
dsp_findkg,European Central Bank,"5. Over the observed period, how did changes in the European Central Bank's policies affect U.S. stocks?"
dsp_findkg,European Central Bank,"6. What was Donald Trump's announcement related to, given that it was impacted by actions taken by the European Central Bank (USMCA)?"
dsp_findkg,European Central Bank,7. How has inflation positively influenced consumer spending as a result of the European Central Bank's decisions during the recorded period?
dsp_findkg,European Central Bank,"8. In what way did changes in interest rates affect US economic growth over time, considering they were decreased by the European Central Bank?"
dsp_findkg,European Central Bank,9. What impact on the economy resulted from the European Central Bank investing in bonds across the observed period?
zero_shot_wikidata,European Central Bank,"1. What country serves as the home for the German Federal Bank, which functions as the central bank of Germany?"
zero_shot_wikidata,European Central Bank,2. Which European institution shares its name with a continent and has an economy that impacts the overall economy of Europe?
zero_shot_wikidata,European Central Bank,3. In what country is the headquarters of the entity responsible for managing the monetary policy within the Eurozone located?
zero_shot_wikidata,European Central Bank,"4. What economic system does the European Central Bank, which influences the economy of Europe, operate under as it carries out its responsibilities?"
zero_shot_wikidata,European Central Bank,5. Which central bank operates independently and exercises control over Germany's money supply and credit conditions?
zero_shot_wikidata,European Central Bank,6. By what name is the institution known that plays a significant role in maintaining price stability within the Eurozone?
zero_shot_wikidata,European Central Bank,"7. What country serves as the location for the European Central Bank, which has been established to promote the smooth operation of economic policies among EU member states?"
zero_shot_wikidata,European Central Bank,8. Which central bank operates under German law and manages monetary policy for Germany while also contributing to the overall objectives of the European System of Central Banks (ESCB)?
zero_shot_wikidata,European Central Bank,9. What country's economy is influenced by a central banking institution that plays an essential role in maintaining price stability within the Eurozone?
zero_shot_wikidata,European Central Bank,"10. Which entity, responsible for managing the?"
few_shot_wikidata,European Central Bank,"1. How does the European Central Bank, being named after the economy of Europe, impact the overall economic health within that region?"
few_shot_wikidata,European Central Bank,"2. As a central bank for Germany, what role does the European Central Bank play in managing monetary policy and maintaining financial stability within its jurisdiction?"
few_shot_wikidata,European Central Bank,"3. If the European Central Bank decides to implement certain policies or measures, how might these actions affect other national banks such as the German Federal Bank?"
few_shot_wikidata,European Central Bank,4. How do changes made by the European Central Bank impact interest rates across various sectors of the economy in Europe?
few_shot_wikidata,European Central Bank,"5. What is the relationship between the European Central Bank and monetary integration within the broader economic union it serves (e.g., Eurozone)?"
few_shot_wikidata,European Central Bank,"6. In what ways does the European Central Bank's decision-making process influence exchange rate stability for participating countries, such as Germany?"
few_shot_wikidata,European Central Bank,7. How do changes in interest rates by the European Central Bank affect investment opportunities and capital flows between different economies within Europe?
few_shot_wikidata,European Central Bank,"8. As a key player in monetary policy decisions, how might actions taken by the European Central Bank impact inflation levels across various sectors of the economy (e.g., consumer goods)?"
few_shot_wikidata,European Central Bank,9. How does the European Central Bank's role as a lender?
cot_wikidata,European Central Bank,"How is the European Central Bank connected to the German Federal Bank through its country affiliation with Germany, and how does it relate to the economy of Europe being named after Europe?"
one_per_path_wikidata,European Central Bank,How is the European Central Bank connected to the German Federal Bank through Germany as their central bank?
one_per_path_wikidata,European Central Bank,Why does the European Central Bank influence the economy of Europe through its name?
zero_shot_findkg,Inflation,1. How does inflation impact consumer spending in Germany?
zero_shot_findkg,Inflation,"2. In what way can inflation positively affect consumer spending, leading to an influence on the U.S. economy?"
zero_shot_findkg,Inflation,3. What effect do Treasury inflation-protected securities have on inflation expectations and subsequent inflation pressures?
zero_shot_findkg,Inflation,4. How might inflation negatively impact retailers within the U.S. economy?
