method,topic,avg_grounding,avg_pairwise_similarity,redundant_pair_count,acceptance_rate,avg_judge_score,num_paths,num_questions
zero_shot_findkg,European Central Bank,0.807798546552658,0.5456384585963355,1.0,0.9,0.0,11,10
few_shot_findkg,European Central Bank,0.8347223341464997,0.6440008348888822,0.0,1.0,0.0,11,10
cot_findkg,European Central Bank,0.8183775246143341,0.6193423920207554,1.0,1.0,0.0,11,10
dsp_findkg,European Central Bank,0.8225770990053812,0.6013224389817979,0.0,1.0,0.0,11,9
zero_shot_wikidata,European Central Bank,0.6751150041818619,0.5775704721609751,0.0,0.7,0.0,2,10
few_shot_wikidata,European Central Bank,0.662546694278717,0.6832858075698217,1.0,0.7777777777777778,0.0,2,9
cot_wikidata,European Central Bank,0.8241831660270691,0.0,0.0,1.0,0.0,2,1
one_per_path_wikidata,European Central Bank,0.8135075569152832,0.6785377264022827,0.0,1.0,0.0,2,2
zero_shot_findkg,Inflation,0.8399802565574646,0.6648769458134969,4.0,1.0,0.0,4,10
few_shot_findkg,Inflation,0.8364597797393799,0.6517804046471913,5.0,1.0,0.0,4,10
cot_findkg,Inflation,0.8311578333377838,0.3649875223636627,0.0,1.0,0.0,4,2
dsp_findkg,Inflation,0.8308546476893954,0.6466654588778814,6.0,1.0,0.0,4,9
zero_shot_wikidata,Inflation,0.7319833636283875,0.47753879096772933,2.0,0.9,0.0,4,10
few_shot_wikidata,Inflation,0.8747445791959763,0.5618471403916677,0.0,1.0,0.0,4,4
cot_wikidata,Inflation,0.8895373145739237,0.5035494963328043,0.0,1.0,0.0,4,3
one_per_path_wikidata,Inflation,0.9040557742118835,0.5424332519372305,0.0,1.0,0.0,4,4
zero_shot_findkg,JPMorgan Chase,0.8510808765888214,0.5989796062310536,1.0,1.0,0.0,15,10
few_shot_findkg,JPMorgan Chase,0.8456330365604825,0.6067529014415212,0.0,1.0,0.0,15,9
cot_findkg,JPMorgan Chase,0.8555409709612528,0.6444619281424416,0.0,1.0,0.0,15,9
dsp_findkg,JPMorgan Chase,0.8238560557365417,0.6648328744229817,1.0,1.0,0.0,15,7
zero_shot_wikidata,JPMorgan Chase,0.8495497882366181,0.8654881834983825,34.0,1.0,0.0,1,10
few_shot_wikidata,JPMorgan Chase,0.8084983080625534,0.8328087840761457,21.0,0.875,0.0,1,8
cot_wikidata,JPMorgan Chase,0.8660564422607422,0.0,0.0,1.0,0.0,1,1
one_per_path_wikidata,JPMorgan Chase,0.8681795597076416,0.0,0.0,1.0,0.0,1,1
