topic,path_text,question,grounding_score,pairwise_similarity,final_score,method,accepted
European Central Bank,European Central Bank --Decrease--> Interest Rates --Impact--> economic expansion,"1. If the European Central Bank decreases interest rates, what impact does it have on economic expansion?",0.9267512559890747,0.0,0.9267512559890747,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Key Interest Rate --Impact--> economy,"1. If the European Central Bank decreases its key interest rate, what impact does it have on the economy?",0.9141525626182556,0.0,0.9141525626182556,zero_shot,True
European Central Bank,European Central Bank --Impact--> Eurozone Economy --Decrease--> Euro,1. How does the European Central Bank affect the Eurozone economy?,0.8582361936569214,0.0,0.8582361936569214,zero_shot,True
European Central Bank,European Central Bank --Invests_In--> bonds --Impact--> Investors,1. Who invests in bonds that are invested by the European Central Bank?,0.851050853729248,0.0,0.851050853729248,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Interest Rates --Impact--> US economic growth,1. What causes European Central Bank to decrease interest rates?,0.8354397416114807,0.0,0.8354397416114807,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Interest Rates --Impact--> US economic growth,1. What effect does a decrease in interest rates by the European Central Bank have on US economic growth?,0.922621488571167,0.0,0.922621488571167,zero_shot,True
European Central Bank,Canadian economy --Impact--> European Central Bank --Announce--> Key Rate,1. How does the Canadian economy affect the key rate announced by the European Central Bank?,0.9221727252006531,0.0,0.9221727252006531,zero_shot,True
European Central Bank,European Central Bank --Decrease--> Key Interest Rate --Impact--> economy,1. What effect does a decrease in the Key Interest Rate by the European Central Bank have on the economy?,0.9091840982437134,0.0,0.9091840982437134,zero_shot,True
European Central Bank,European Central Bank --Impact--> Eurozone Economy --Decrease--> Euro,1. How does the European Central Bank's impact affect the Eurozone Economy?,0.8725780248641968,0.0,0.8725780248641968,zero_shot,True
European Central Bank,European Central Bank --Impact--> economy --Positive_Impact_On--> U.S. stocks,1. How does the European Central Bank's impact on the economy affect U.S. stocks?,0.8316669464111328,0.0,0.8316669464111328,zero_shot,True
European Central Bank,European Central Bank --named after--> Europe --economy of topic--> economy of Europe,1. What is the economy that the European Central Bank regulates?,0.772591233253479,0.0,0.772591233253479,zero_shot,True
